"product-img href","img-fluid src","product-content-left href","product-name-plp-h3","new-price","plp-swatches src","plp-swatches","pro-badge","pro-badge src"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-desert-sand-n-04-30-ml-101-floz-mu-00015414-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015414-R7-1.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-beauty-booster-foundation-desert-sand-n-04-30-ml-101-floz-mu-00015414-1/p//","Beauty Booster Foundation - N.04 - Desert Sand","132.00","https://www.boutiqaat.com/static/images/color.png","7 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-butterscotch-n-05-30-ml-101-floz-mu-00015413-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015413-R6-1.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-beauty-booster-foundation-butterscotch-n-05-30-ml-101-floz-mu-00015413-1/p//","Beauty Booster Foundation - N.05 - Butterscotch","132.00","https://www.boutiqaat.com/static/images/color.png","7 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-beauty-booster-foundation-umber-girl-n-06-30-ml-101-floz-mu-00015417-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015417-R6-1.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-beauty-booster-foundation-umber-girl-n-06-30-ml-101-floz-mu-00015417-1/p//","Beauty Booster Foundation - N.06 - Umber Girl","132.00","https://www.boutiqaat.com/static/images/color.png","7 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-classic-lip-pencil-fawn-n-01-04-g-0014-net-wt-oz-mu-00015945-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015945-R5-1_1.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-velvet-classic-lip-pencil-fawn-n-01-04-g-0014-net-wt-oz-mu-00015945-1/p//","Velvet Classic Lip Pencil - N.01 - Fawn","84.00","https://www.boutiqaat.com/static/images/color.png","6 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-classic-lip-pencil-caramel-n-02-04-g-0014-net-wt-oz-mu-00015946-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015946-R5-1_1.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-velvet-classic-lip-pencil-caramel-n-02-04-g-0014-net-wt-oz-mu-00015946-1/p//","Velvet Classic Lip Pencil - N.02 - Caramel","84.00","https://www.boutiqaat.com/static/images/color.png","6 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-classic-lip-pencil-gingerbread-n-03-04-g-0014-net-wt-oz-mu-00015947-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015947-R5-1.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-velvet-classic-lip-pencil-gingerbread-n-03-04-g-0014-net-wt-oz-mu-00015947-1/p//","Velvet Classic Lip Pencil - N.03 - Gingerbread","84.00","https://www.boutiqaat.com/static/images/color.png","6 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-classic-lip-pencil-truffle-n-04-04-g-0014-net-wt-oz-mu-00015948-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015948-R6-1.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-velvet-classic-lip-pencil-truffle-n-04-04-g-0014-net-wt-oz-mu-00015948-1/p//","Velvet Classic Lip Pencil - N.04 - Truffle","84.00","https://www.boutiqaat.com/static/images/color.png","6 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-classic-lip-pencil-cinnamon-n-05-04-g-0014-net-wt-oz-mu-00015949-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015949-R6-2.jpg","https://www.boutiqaat.com/en-kw/men/zai-beaute-velvet-classic-lip-pencil-cinnamon-n-05-04-g-0014-net-wt-oz-mu-00015949-1/p//","Velvet Classic Lip Pencil - N.05 - Cinnamon","84.00","https://www.boutiqaat.com/static/images/color.png","6 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-classic-lip-pencil-cherry-red-n-06-04-g-0014-net-wt-oz-mu-00015950-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015950-1_1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-classic-lip-pencil-cherry-red-n-06-04-g-0014-net-wt-oz-mu-00015950-1/p//","Velvet Classic Lip Pencil - N.06 - Cherry Red","84.00","https://www.boutiqaat.com/static/images/color.png","6 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-matt-lipstick-zai-n-02-35-g-012-net-wt-oz-mu-00015576-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015576-R9-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-matt-lipstick-zai-n-02-35-g-012-net-wt-oz-mu-00015576-1/p//","Velvet Matt Lipstick - Mocha","96.00","https://www.boutiqaat.com/static/images/color.png","8 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-matt-lipstick-deeper-than-you-n-03-35-g-012-net-wt-oz-mu-00015570-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00015570-R9-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-velvet-matt-lipstick-deeper-than-you-n-03-35-g-012-net-wt-oz-mu-00015570-1/p//","Velvet Matt Lipstick - Deeper Than You","96.00","https://www.boutiqaat.com/static/images/color.png","8 colors","Exclusive","https://www.boutiqaat.com/static/images/btq.png"
"https://www.boutiqaat.com/en-ae/women/zai-beaute-fastline-liquid-eyeliner-brush-pen-black-n-01-06-ml-002-floz-mu-00017028-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00017028-9.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-fastline-liquid-eyeliner-brush-pen-black-n-01-06-ml-002-floz-mu-00017028-1/p//","Fastline Liquid Eyeliner - N.01 - Black","84.00","","","",""
"https://www.boutiqaat.com/en-ae/women/zai-beaute-ph-reactor-lip-oil-mu-00025328-1/p//","https://v2cdn.boutiqaat.com/cdn-cgi/image/width=400,height=400,quality=80/media/catalog/product//M/U/MU-00025328-1.jpg","https://www.boutiqaat.com/en-ae/women/zai-beaute-ph-reactor-lip-oil-mu-00025328-1/p//","Color Bloom pH REACTOR Lip Oil","90.00","","","",""
